               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.019277,           0.0027888,                   0,             0.99319,             0.99925,             0.99394,             0.74841,            0.016338,           0.0029172,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.019005,           0.0027699,                   0,             0.99401,             0.99751,             0.99371,             0.75326,            0.016298,           0.0028956,                   0,            0.008317,            0.008317,            0.008317
                  87,             0.01903,             0.00276,                   0,             0.99476,             0.99881,               0.994,             0.74352,            0.016301,           0.0029072,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.01889,           0.0027867,                   0,             0.99392,             0.99925,             0.99379,             0.74501,            0.016379,           0.0029205,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.019314,            0.002737,                   0,             0.99313,             0.99925,             0.99357,             0.74687,            0.016232,           0.0029026,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.018872,           0.0027367,                   0,             0.99267,              0.9985,              0.9934,             0.75203,            0.016194,           0.0028831,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018997,           0.0027317,                   0,             0.99458,             0.99775,             0.99402,              0.7512,            0.016141,           0.0028762,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.018646,           0.0027752,                   0,             0.99245,             0.99699,             0.99327,             0.75251,            0.016308,           0.0028658,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.019197,           0.0027847,                   0,             0.99147,             0.99699,             0.99305,             0.74882,            0.016356,           0.0028744,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.019044,           0.0027567,                   0,             0.99324,             0.99699,             0.99373,             0.75271,            0.016257,           0.0028681,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.019174,           0.0027549,                   0,             0.99338,             0.99699,             0.99406,             0.75456,            0.016024,           0.0028799,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.019105,           0.0027575,                   0,             0.99401,             0.99812,             0.99415,             0.75481,            0.016053,           0.0028945,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.019116,           0.0027543,                   0,             0.99401,             0.99691,             0.99397,             0.75223,            0.016151,           0.0028834,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,             0.01916,           0.0027512,                   0,             0.99386,             0.99925,             0.99397,             0.75256,            0.016158,           0.0028821,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.019098,           0.0028025,                   0,             0.99476,             0.99774,             0.99416,             0.75503,            0.016116,           0.0028822,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.01916,           0.0027199,                   0,             0.99454,             0.99699,             0.99417,             0.75125,            0.016123,           0.0028914,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.019063,           0.0027731,                   0,             0.99511,             0.99775,              0.9939,             0.75045,            0.016188,           0.0028931,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.018762,           0.0027783,                   0,              0.9955,              0.9983,              0.9941,             0.74945,            0.016159,           0.0028776,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.018855,           0.0026955,                   0,             0.99547,             0.99775,             0.99415,             0.75196,            0.016184,           0.0028737,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.018568,            0.002745,                   0,             0.99508,             0.99699,             0.99379,             0.75154,            0.016318,           0.0028719,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.018773,           0.0027368,                   0,             0.99513,             0.99775,               0.994,             0.75333,            0.016284,           0.0028619,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.018848,           0.0027602,                   0,              0.9955,             0.99828,             0.99404,             0.75528,            0.016212,           0.0028535,                   0,            0.007921,            0.007921,            0.007921
